OU Size: 4x4
layer,time_s,energy_J
1,2.959501e-03,2.357268e-06
2,6.313602e-02,5.028839e-05
3,3.156801e-02,2.514420e-05
4,6.313602e-02,5.028839e-05
5,3.156801e-02,2.514420e-05
6,3.863300e-02,5.028839e-05
7,6.313602e-02,5.028839e-05
8,2.216374e-02,2.514420e-05
9,2.243660e-02,5.028839e-05
10,2.262286e-02,5.028839e-05
11,5.561493e-03,1.257210e-05
12,5.546223e-03,1.257210e-05
13,5.611576e-03,1.257210e-05
14,2.726409e-06,2.793809e-08
15,3.127200e-05,4.561306e-07
16,2.865001e-05,1.113600e-07
Total,,,
Latency (max),6.313602e-02,
Energy (sum),,4.178319e-04,
EDP, , ,2.638025e-05

OU Size: 4x8
layer,time_s,energy_J
1,1.479750e-03,2.651927e-06
2,3.156801e-02,5.657444e-05
3,1.578400e-02,2.828722e-05
4,3.156801e-02,5.657444e-05
5,1.578400e-02,2.828722e-05
6,1.931650e-02,5.657444e-05
7,3.156801e-02,5.657444e-05
8,1.108187e-02,2.828722e-05
9,1.121830e-02,5.657444e-05
10,1.131143e-02,5.657444e-05
11,2.780746e-03,1.414361e-05
12,2.773112e-03,1.414361e-05
13,2.805788e-03,1.414361e-05
14,1.363204e-06,3.143035e-08
15,1.563600e-05,5.131469e-07
16,1.432500e-05,1.252800e-07
Total,,,
Latency (max),3.156801e-02,
Energy (sum),,4.700609e-04,
EDP, , ,1.483889e-05

OU Size: 4x12
layer,time_s,energy_J
1,9.865003e-04,2.946586e-06
2,2.104534e-02,6.286049e-05
3,1.052267e-02,3.143025e-05
4,2.104534e-02,6.286049e-05
5,1.052267e-02,3.143025e-05
6,1.287767e-02,6.286049e-05
7,2.104534e-02,6.286049e-05
8,7.387913e-03,3.143025e-05
9,7.478865e-03,6.286049e-05
10,7.540955e-03,6.286049e-05
11,1.853831e-03,1.571512e-05
12,1.848741e-03,1.571512e-05
13,1.870525e-03,1.571512e-05
14,9.088029e-07,3.492262e-08
15,1.042400e-05,5.701632e-07
16,9.550002e-06,1.392000e-07
Total,,,
Latency (max),2.104534e-02,
Energy (sum),,5.222899e-04,
EDP, , ,1.099177e-05

OU Size: 4x16
layer,time_s,energy_J
1,7.398752e-04,3.241244e-06
2,1.578400e-02,6.914654e-05
3,7.892002e-03,3.457327e-05
4,1.578400e-02,6.914654e-05
5,7.892002e-03,3.457327e-05
6,9.658250e-03,6.914654e-05
7,1.578400e-02,6.914654e-05
8,5.540935e-03,3.457327e-05
9,5.609149e-03,6.914654e-05
10,5.655716e-03,6.914654e-05
11,1.390373e-03,1.728664e-05
12,1.386556e-03,1.728664e-05
13,1.402894e-03,1.728664e-05
14,6.816022e-07,3.841488e-08
15,7.818001e-06,6.271795e-07
16,7.162502e-06,1.531200e-07
Total,,,
Latency (max),1.578400e-02,
Energy (sum),,5.745189e-04,
EDP, , ,9.068210e-06

OU Size: 4x20
layer,time_s,energy_J
1,5.919002e-04,3.535903e-06
2,1.262720e-02,7.543259e-05
3,6.313602e-03,3.771630e-05
4,1.262720e-02,7.543259e-05
5,6.313602e-03,3.771630e-05
6,7.726600e-03,7.543259e-05
7,1.262720e-02,7.543259e-05
8,4.432748e-03,3.771630e-05
9,4.487319e-03,7.543259e-05
10,4.524573e-03,7.543259e-05
11,1.112299e-03,1.885815e-05
12,1.109245e-03,1.885815e-05
13,1.122315e-03,1.885815e-05
14,5.452817e-07,4.190714e-08
15,6.254401e-06,6.841958e-07
16,5.730001e-06,1.670400e-07
Total,,,
Latency (max),1.262720e-02,
Energy (sum),,6.267479e-04,
EDP, , ,7.914074e-06

OU Size: 4x24
layer,time_s,energy_J
1,4.932502e-04,3.830561e-06
2,1.052267e-02,8.171864e-05
3,5.261335e-03,4.085932e-05
4,1.052267e-02,8.171864e-05
5,5.261335e-03,4.085932e-05
6,6.438833e-03,8.171864e-05
7,1.052267e-02,8.171864e-05
8,3.693957e-03,4.085932e-05
9,3.739433e-03,8.171864e-05
10,3.770477e-03,8.171864e-05
11,9.269155e-04,2.042966e-05
12,9.243705e-04,2.042966e-05
13,9.352626e-04,2.042966e-05
14,4.544014e-07,4.539940e-08
15,5.212001e-06,7.412122e-07
16,4.775001e-06,1.809600e-07
Total,,,
Latency (max),1.052267e-02,
Energy (sum),,6.789769e-04,
EDP, , ,7.144650e-06

OU Size: 4x28
layer,time_s,energy_J
1,4.227858e-04,4.125220e-06
2,9.019431e-03,8.800469e-05
3,4.509716e-03,4.400234e-05
4,9.019431e-03,8.800469e-05
5,4.509716e-03,4.400234e-05
6,5.519000e-03,8.800469e-05
7,9.019431e-03,8.800469e-05
8,3.166249e-03,4.400234e-05
9,3.205228e-03,8.800469e-05
10,3.231838e-03,8.800469e-05
11,7.944990e-04,2.200117e-05
12,7.923176e-04,2.200117e-05
13,8.016537e-04,2.200117e-05
14,3.894869e-07,4.889166e-08
15,4.467429e-06,7.982285e-07
16,4.092858e-06,1.948800e-07
Total,,,
Latency (max),9.019431e-03,
Energy (sum),,7.312059e-04,
EDP, , ,6.595062e-06

OU Size: 4x32
layer,time_s,energy_J
1,3.699376e-04,4.419878e-06
2,7.892002e-03,9.429074e-05
3,3.946001e-03,4.714537e-05
4,7.892002e-03,9.429074e-05
5,3.946001e-03,4.714537e-05
6,4.829125e-03,9.429074e-05
7,7.892002e-03,9.429074e-05
8,2.770468e-03,4.714537e-05
9,2.804574e-03,9.429074e-05
10,2.827858e-03,9.429074e-05
11,6.951866e-04,2.357268e-05
12,6.932779e-04,2.357268e-05
13,7.014469e-04,2.357268e-05
14,3.408011e-07,5.238392e-08
15,3.909001e-06,8.552448e-07
16,3.581251e-06,2.088000e-07
Total,,,
Latency (max),7.892002e-03,
Energy (sum),,7.834349e-04,
EDP, , ,6.182870e-06

OU Size: 4x36
layer,time_s,energy_J
1,3.288334e-04,4.714537e-06
2,7.015113e-03,1.005768e-04
3,3.507557e-03,5.028839e-05
4,7.015113e-03,1.005768e-04
5,3.507557e-03,5.028839e-05
6,4.292555e-03,1.005768e-04
7,7.015113e-03,1.005768e-04
8,2.462638e-03,5.028839e-05
9,2.492955e-03,1.005768e-04
10,2.513652e-03,1.005768e-04
11,6.179437e-04,2.514420e-05
12,6.162470e-04,2.514420e-05
13,6.235084e-04,2.514420e-05
14,3.029343e-07,5.587618e-08
15,3.474667e-06,9.122611e-07
16,3.183334e-06,2.227200e-07
Total,,,
Latency (max),7.015113e-03,
Energy (sum),,8.356639e-04,
EDP, , ,5.862277e-06

OU Size: 4x40
layer,time_s,energy_J
1,2.959501e-04,5.009196e-06
2,6.313602e-03,1.068628e-04
3,3.156801e-03,5.343142e-05
4,6.313602e-03,1.068628e-04
5,3.156801e-03,5.343142e-05
6,3.863300e-03,1.068628e-04
7,6.313602e-03,1.068628e-04
8,2.216374e-03,5.343142e-05
9,2.243660e-03,1.068628e-04
10,2.262286e-03,1.068628e-04
11,5.561493e-04,2.671571e-05
12,5.546223e-04,2.671571e-05
13,5.611576e-04,2.671571e-05
14,2.726409e-07,5.936845e-08
15,3.127200e-06,9.692774e-07
16,2.865001e-06,2.366400e-07
Total,,,
Latency (max),6.313602e-03,
Energy (sum),,8.878929e-04,
EDP, , ,5.605802e-06

OU Size: 4x44
layer,time_s,energy_J
1,2.690455e-04,5.303854e-06
2,5.739638e-03,1.131489e-04
3,2.869819e-03,5.657444e-05
4,5.739638e-03,1.131489e-04
5,2.869819e-03,5.657444e-05
6,3.512091e-03,1.131489e-04
7,5.739638e-03,1.131489e-04
8,2.014885e-03,5.657444e-05
9,2.039691e-03,1.131489e-04
10,2.056624e-03,1.131489e-04
11,5.055903e-04,2.828722e-05
12,5.042021e-04,2.828722e-05
13,5.101432e-04,2.828722e-05
14,2.478553e-07,6.286071e-08
15,2.842910e-06,1.026294e-06
16,2.604546e-06,2.505600e-07
Total,,,
Latency (max),5.739638e-03,
Energy (sum),,9.401219e-04,
EDP, , ,5.395959e-06

OU Size: 4x48
layer,time_s,energy_J
1,2.466251e-04,5.598513e-06
2,5.261335e-03,1.194349e-04
3,2.630667e-03,5.971747e-05
4,5.261335e-03,1.194349e-04
5,2.630667e-03,5.971747e-05
6,3.219417e-03,1.194349e-04
7,5.261335e-03,1.194349e-04
8,1.846978e-03,5.971747e-05
9,1.869716e-03,1.194349e-04
10,1.885239e-03,1.194349e-04
11,4.634577e-04,2.985873e-05
12,4.621853e-04,2.985873e-05
13,4.676313e-04,2.985873e-05
14,2.272007e-07,6.635297e-08
15,2.606000e-06,1.083310e-06
16,2.387501e-06,2.644800e-07
Total,,,
Latency (max),5.261335e-03,
Energy (sum),,9.923509e-04,
EDP, , ,5.221090e-06

OU Size: 4x52
layer,time_s,energy_J
1,2.276539e-04,5.893171e-06
2,4.856617e-03,1.257210e-04
3,2.428308e-03,6.286049e-05
4,4.856617e-03,1.257210e-04
5,2.428308e-03,6.286049e-05
6,2.971769e-03,1.257210e-04
7,4.856617e-03,1.257210e-04
8,1.704903e-03,6.286049e-05
9,1.725892e-03,1.257210e-04
10,1.740220e-03,1.257210e-04
11,4.278071e-04,3.143025e-05
12,4.266326e-04,3.143025e-05
13,4.316597e-04,3.143025e-05
14,2.097237e-07,6.984523e-08
15,2.405539e-06,1.140326e-06
16,2.203847e-06,2.784000e-07
Total,,,
Latency (max),4.856617e-03,
Energy (sum),,1.044580e-03,
EDP, , ,5.073124e-06

OU Size: 4x56
layer,time_s,energy_J
1,2.113929e-04,6.187830e-06
2,4.509716e-03,1.320070e-04
3,2.254858e-03,6.600352e-05
4,4.509716e-03,1.320070e-04
5,2.254858e-03,6.600352e-05
6,2.759500e-03,1.320070e-04
7,4.509716e-03,1.320070e-04
8,1.583124e-03,6.600352e-05
9,1.602614e-03,1.320070e-04
