Layer #,Layer,Weights(KB),MACs,Weight_Sparsity(0-1),Activation_Sparsity(0-1),Activations(KB)
1,conv1,73.5,118013952,0.1371173469387755,0.125,6272.0
2,layer1.0.conv1,288.0,115605504,0.146728515625,0.0,1568.0
3,layer1.0.conv2,288.0,115605504,0.025716145833333332,4.982461734693877e-06,1568.0
4,layer1.1.conv1,288.0,115605504,0.024820963541666668,0.0,1568.0
5,layer1.1.conv2,288.0,115605504,0.024576822916666668,0.0,1568.0
6,layer2.0.conv1,576.0,57802752,0.027438693576388888,0.0,784.0
7,layer2.0.conv2,1152.0,115605504,0.030917697482638888,1.992984693877551e-05,784.0
8,layer2.0.downsample.0,64.0,6422528,0.019287109375,0.0,784.0
9,layer2.1.conv1,1152.0,115605504,0.030680338541666668,9.964923469387754e-06,784.0
10,layer2.1.conv2,1152.0,115605504,0.032023111979166664,9.964923469387754e-06,784.0
11,layer3.0.conv1,2304.0,57802752,0.035176595052083336,0.0,392.0
12,layer3.0.conv2,4608.0,115605504,0.03860812717013889,0.0,392.0
13,layer3.0.downsample.0,256.0,6422528,0.03192138671875,1.992984693877551e-05,392.0
14,layer3.1.conv1,4608.0,115605504,0.042241414388020836,0.0,392.0
15,layer3.1.conv2,4608.0,115605504,0.04528639051649305,0.0,392.0
16,layer4.0.conv1,9216.0,57802752,0.04444461398654514,0.0,196.0
17,layer4.0.conv2,18432.0,115605504,0.04965506659613715,0.0,196.0
18,layer4.0.downsample.0,1024.0,6422528,0.03037261962890625,0.0,196.0
19,layer4.1.conv1,18432.0,115605504,0.04693900214301215,0.0,196.0
20,layer4.1.conv2,18432.0,115605504,0.06619644165039062,0.0,196.0
21,fc,4000.0,512000,0.013203125,0.0,7.8125
