Layer #,Layer,Weights(KB),MACs,Weight_Sparsity(0-1),Activation_Sparsity(0-1),Activations(KB)
1,features.0.0,6.75,10838016,0.07291666666666667,0.0625,3136.0
2,features.1.conv.0.0,2.25,115605504,0.0625,0.15718670280612246,3136.0
3,features.1.conv.1,4.0,6422528,0.064453125,0.0,1568.0
4,features.2.conv.0.0,12.0,19267584,0.0078125,0.0,9408.0
5,features.2.conv.1.0,6.75,260112384,0.0023148148148148147,0.009622794430272108,2352.0
6,features.2.conv.2,18.0,7225344,0.005208333333333333,0.0,588.0
7,features.3.conv.0.0,27.0,10838016,0.013599537037037037,0.006944444444444444,3528.0
8,features.3.conv.1.0,10.125,585252864,0.013888888888888888,0.13593705711451248,3528.0
9,features.3.conv.2,27.0,10838016,0.013888888888888888,0.0,588.0
10,features.4.conv.0.0,27.0,10838016,0.005497685185185185,0.0,3528.0
11,features.4.conv.1.0,10.125,146313216,0.0,0.15684346655328799,882.0
12,features.4.conv.2,36.0,3612672,0.004991319444444444,0.0,196.0
13,features.5.conv.0.0,48.0,4816896,0.008626302083333334,0.0,1176.0
14,features.5.conv.1.0,13.5,260112384,0.006944444444444444,0.12962372448979592,1176.0
15,features.5.conv.2,48.0,4816896,0.008626302083333334,0.0,196.0
16,features.6.conv.0.0,48.0,4816896,0.007649739583333333,0.0,1176.0
17,features.6.conv.1.0,13.5,260112384,0.004629629629629629,0.14332881590136054,1176.0
18,features.6.conv.2,48.0,4816896,0.0087890625,0.0,196.0
19,features.7.conv.0.0,48.0,4816896,0.0078125,6.64328231292517e-06,1176.0
20,features.7.conv.1.0,13.5,65028096,0.0,0.3523065476190476,294.0
21,features.7.conv.2,96.0,2408448,0.006429036458333333,0.0,98.0
22,features.8.conv.0.0,192.0,4816896,0.015584309895833334,0.005208333333333333,588.0
23,features.8.conv.1.0,27.0,260112384,0.01273148148148148,0.17684417517006804,588.0
24,features.8.conv.2,192.0,4816896,0.017008463541666668,0.0,98.0
25,features.9.conv.0.0,192.0,4816896,0.014607747395833334,0.0026041666666666665,588.0
26,features.9.conv.1.0,27.0,260112384,0.009548611111111112,0.1952859268707483,588.0
27,features.9.conv.2,192.0,4816896,0.015421549479166666,0.0,98.0
28,features.10.conv.0.0,192.0,4816896,0.010904947916666666,0.0,588.0
29,features.10.conv.1.0,27.0,260112384,0.010127314814814815,0.23674000850340135,588.0
30,features.10.conv.2,192.0,4816896,0.01123046875,0.0,98.0
31,features.11.conv.0.0,192.0,4816896,0.009358723958333334,0.0,588.0
32,features.11.conv.1.0,27.0,260112384,0.009548611111111112,0.31911670918367346,588.0
33,features.11.conv.2,288.0,7225344,0.008734809027777778,0.0,147.0
34,features.12.conv.0.0,432.0,10838016,0.011917679398148149,0.0,882.0
35,features.12.conv.1.0,40.5,585252864,0.007908950617283951,0.3191787131519274,882.0
36,features.12.conv.2,432.0,10838016,0.012586805555555556,0.0,147.0
37,features.13.conv.0.0,432.0,10838016,0.013671875,0.001736111111111111,882.0
38,features.13.conv.1.0,40.5,585252864,0.008487654320987654,0.3520762471655329,882.0
39,features.13.conv.2,432.0,10838016,0.014720775462962963,0.0,147.0
40,features.14.conv.0.0,432.0,10838016,0.009259259259259259,0.0,882.0
41,features.14.conv.1.0,40.5,146313216,0.0,0.7001133786848073,220.5
42,features.14.conv.2,720.0,4515840,0.009798177083333333,0.0,61.25
43,features.15.conv.0.0,1200.0,7526400,0.017975260416666666,0.003125,367.5
44,features.15.conv.1.0,67.5,406425600,0.010069444444444445,0.2240858843537415,367.5
45,features.15.conv.2,1200.0,7526400,0.018821614583333333,0.0,61.25
46,features.16.conv.0.0,1200.0,7526400,0.013736979166666666,0.0,367.5
47,features.16.conv.1.0,67.5,406425600,0.010300925925925925,0.22310799319727892,367.5
48,features.16.conv.2,1200.0,7526400,0.015807291666666667,0.0,61.25
49,features.17.conv.0.0,1200.0,7526400,0.01158203125,0.0,367.5
50,features.17.conv.1.0,67.5,406425600,0.0020833333333333333,0.4616284013605442,367.5
51,features.17.conv.2,2400.0,15052800,0.014622395833333333,0.0,122.5
52,features.18.0,3200.0,20070400,0.016494140625,0.0,490.0
53,classifier.1,10000.0,1280000,0.02028359375,0.0,7.8125
